timestamp,id,duration,billed,memory,memUsed,init,logStreamName
1670057127156,bc039866-6a89-4c2c-9846-db16e7527d9e,98.86,99,3008,90,376.96,2022/12/03/[1]bdf84e1446aa439c9215fd20df9eacf6
1670060726971,fff1c0b0-d416-489b-96b3-a153b483c2b2,92.14,93,3008,90,349.46,2022/12/03/[1]a1fd3bce00224f9c899e363127334d76
1670064326909,b3f59e52-7bbd-41d9-91ca-23ef56089cbd,95.31,96,3008,90,350.82,2022/12/03/[1]eeaf0d913e484b6d9329b75b5d8418dd
1670067927177,f70bb8ce-bdd9-42b9-b582-e3f5a7f7455e,90.48,91,3008,90,364.07,2022/12/03/[1]c30d6fa143c94edba67b1a4ba582d089
1670071527380,3e076b38-1b46-41e5-a082-894f5a658965,100.24,101,3008,90,494.16,2022/12/03/[1]e6c128dfc1754835849f890e8b254ee0
1670075127090,7dd74fcf-f779-426c-9cd9-abad31972315,89.81,90,3008,90,289.22,2022/12/03/[1]c616496a512141dfbe97eb39441467ca
1670078726996,86208009-f991-4ec2-9dd4-9d3702306d6c,89.97,90,3008,90,328.90,2022/12/03/[1]d0f257f297dc4df090e263b96ee72603
1670082326987,66ba619c-7d6f-4293-a090-75726a7aedfa,89.61,90,3008,90,338.78,2022/12/03/[1]da89ab87346c4976afac6f48ec0cc7a7
1670085927213,b6fba097-2838-44d1-a392-5b35b37b9318,89.05,90,3008,90,324.49,2022/12/03/[1]6a783cc2a0044f1fb79d068a2e0042f4
1670089527116,329e2a78-aa1b-467a-942d-0f12a3b2d35d,89.06,90,3008,90,329.42,2022/12/03/[1]07fecef206d7474fb2f7c7b0d78699fc
1670093126995,b643212c-23ed-42fe-83bc-88c0ec7c02c9,92.77,93,3008,90,348.80,2022/12/03/[1]8ae0d0f553794253a269b012bfc9ee80
1670096726872,71bf49dc-a212-4324-8afa-b87fc69e33fb,87.61,88,3008,90,290.10,2022/12/03/[1]be260d27354d46448d737ef79a1a093b
1670100326913,6202bc39-235e-4d21-b38d-f42946c8b789,99.14,100,3008,90,367.35,2022/12/03/[1]ce89a214eb5d40eaa5c4ebbf3580915d
1670103927112,d4e0a18d-98e9-4b4c-9c5a-6a354aa5741e,93.69,94,3008,90,328.52,2022/12/03/[1]0f5eea5f47c04d4abe0056532d1bf4bc
1670107527075,ec3b2b85-d7d1-425e-b0a6-54e09ba9dece,91.61,92,3008,90,351.27,2022/12/03/[1]5663b0e1efc24f49bce837cef65776cd
1670111126907,0e3a859c-ffef-4f5d-aa22-cacf69eb4bf9,111.66,112,3008,90,381.74,2022/12/03/[1]243f0a5f4fe34b7b80bdabe0df8d68ba
1670114728119,568dc646-fddd-4fa8-98c8-baa833faaa09,102.50,103,3008,90,377.68,2022/12/04/[1]20372c2dcb3348dd962de3e51bd6dc29
1670118327464,e897cc22-af7a-48ea-bbcb-85f50f99afcb,94.52,95,3008,91,326.36,2022/12/04/[1]2ad24a7007ef4f2db186d60655248218
1670121927332,7f324e0e-d480-4289-a025-cae8216cfc81,89.21,90,3008,90,324.75,2022/12/04/[1]bdaf2297535644ef959c641b1ea2f256
1670125526791,ba27c5d9-95fa-4017-a8a7-2cbb4d7ad203,95.36,96,3008,90,332.09,2022/12/04/[1]19417102419b4333b66fe828f47f073e
1670129126927,5fd379bb-ca1f-4f10-b5b4-ae65dfd8e9ec,95.81,96,3008,90,344.95,2022/12/04/[1]f90c1118b28049a8975363f7648d9802
1670132726910,08036ac0-e56e-45d7-bd0c-76a2f8e940d2,88.14,89,3008,90,325.80,2022/12/04/[1]8a31ae2e85b845ebb9d7089cf62ceec7
1670136327428,107dc707-0bff-4fe9-885e-bcd22c4f9422,90.19,91,3008,90,321.33,2022/12/04/[1]6b989fde15c148c6aad3cd885bbc5964
1670139927836,bfadffbd-ffe4-4ca1-b1db-9b10a399a07c,89.43,90,3008,90,329.21,2022/12/04/[1]2a793c1cbfcf486b84be0bdf53ee5004
1670143527043,9ff82ebe-de6a-44ae-bd49-02a1496273c9,103.90,104,3008,90,378.80,2022/12/04/[1]4a70516d2624415f9b3de6471d4c3a6f
1670147127166,1a4dc429-685f-4a94-aa99-6927b3eb789f,97.06,98,3008,90,347.54,2022/12/04/[1]610aa2ae1d1a45d2866766210f0418a6
1670150727250,afdec92b-0512-44e2-b7ab-e58638885fad,112.21,113,3008,91,343.54,2022/12/04/[1]874f61d8713c4bf3a9c69f111675099e
1670154326853,84c2b131-fa8d-4505-b9b6-3c84224960fa,89.16,90,3008,90,319.12,2022/12/04/[1]7147ec2c1e5e472887324152dace46a6
1670157927078,a6d6d601-76c4-470d-9c8f-5105f40dadd7,96.89,97,3008,91,312.13,2022/12/04/[1]0a90daadd4f74c4ba34ef1049daab39a
1670161527192,bc649bcc-4c56-4808-8701-fafe86c68ea7,76.68,77,3008,90,281.60,2022/12/04/[1]eb3b12d68eb84daa9f4abedacb97d398
1670165127083,359c7893-8576-42b8-a36d-217534421ac3,98.22,99,3008,90,345.13,2022/12/04/[1]1855611deffe4e7b95384e1125199f63
1670168727189,f278f0fb-7c95-4d07-9668-58c34e6b16e6,95.15,96,3008,90,320.33,2022/12/04/[1]8eb12c0c896d4382994659c9ecebe032
1670172327111,908d0def-3726-402a-8656-4d9154d6a388,91.72,92,3008,90,327.71,2022/12/04/[1]a0789cad5ea24a9688cf1bbf2a8e052b
1670175927088,24f81ce4-18cb-4b56-8079-99666cd6ff4c,115.36,116,3008,90,406.88,2022/12/04/[1]504b391b1f734af989b6f8591eb67aa6
1670179527259,e5341b82-70b4-4b9c-a4ce-c90daf301f8d,99.31,100,3008,90,357.80,2022/12/04/[1]8cb91ab78a7e4569b0cdda655449bd9a
1670183127004,7ad70e29-78b6-4d2b-8ca6-6f2886927cee,90.84,91,3008,90,319.81,2022/12/04/[1]fbe31fc3d7a44052950340f1d6bff5f4
1670186726900,83f165e4-216a-4797-a7bd-714e7c96ca72,92.54,93,3008,90,327.31,2022/12/04/[1]7aff72c1c26d42dcbae8b4d643976d77
1670190327157,30541d57-5456-4d94-9e98-c5f3e468daa8,100.08,101,3008,91,345.28,2022/12/04/[1]07a78cf772a3461c99744b977a452b91
