timestamp,id,duration,billed,memory,memUsed,restore,logStreamName
1670024719528,3213d279-3f7d-4616-aade-0cdd473a3a7e,104.16,238,3008,86,193.06,2022/12/02/[1]f61986010571406d9e09dbca7ca5a9f8
1670028319116,6b348c65-d6e5-4436-a13e-36663c80a5c5,108.38,221,3008,86,182.15,2022/12/03/[1]a2a36fd1b5934ffcb0f31bb6b7b7fdcd
1670031919414,92b54b28-9cd5-44b0-81ef-65652f9b80c1,105.71,199,3008,88,140.86,2022/12/03/[1]3f3a22fc18c047498c55b11d63263bed
1670035519115,963163dd-ba25-4d74-a149-a6fe0b387505,104.71,207,3008,86,159.95,2022/12/03/[1]036e3bb456224d8a87f02c5b285ec05f
1670039119536,cb608d26-1600-40e6-9b6a-f5357bcda44a,106.59,187,3008,89,121.86,2022/12/03/[1]f1a9056ad6114ff992ebdc2c26c73f68
1670042719279,2e27f1ac-0657-41eb-ace0-bb925e45194d,178.82,273,3008,87,146.17,2022/12/03/[1]c0a23ae7cf3e475283c564a08af81ff6
1670046319577,0fbb7dfa-8832-48f6-88e5-3b904f191245,154.01,254,3008,87,156.71,2022/12/03/[1]7e8eb42a7aa245b79306c73984e02730
1670049919340,dfb171a5-eb06-4de4-8c6c-cb6ecda67a1d,111.25,219,3008,86,190.64,2022/12/03/[1]31782854524944268e3cdcd8b31af34d
1670053519367,793d32ab-5f7c-47e7-9f5c-268ce8320c6d,99.57,188,3008,86,204.87,2022/12/03/[1]41de79f678254a25823071f5d80426d6
1670057119173,d5910a35-6cb4-49d5-a432-8b58d7913db4,99.34,212,3008,86,183.71,2022/12/03/[1]7f02d0b6d3bd4e72a423c3aca4e72720
1670060719308,8cf91c7c-2557-4eed-bddf-18d17fa3131f,119.50,211,3008,86,136.45,2022/12/03/[1]c32f497b2c42418eac858d34ad8bca76
1670064319253,c4d562e7-0041-4240-9dac-387ef931c030,110.54,221,3008,86,187.38,2022/12/03/[1]3d5f540918fe40b1bb9572e4aef6513f
1670067919345,d012943a-ad75-4dc5-9a97-6ba4f8593e79,109.04,224,3008,86,201.19,2022/12/03/[1]5091d48f0f5448df8e1083a3f67227ae
1670071519226,788a1169-35f4-44d5-873e-d4826ef109bb,149.29,290,3008,86,199.81,2022/12/03/[1]a4eae374cbef4d6b99864f43d194cc3d
1670075119096,8f63af0e-3026-48c8-afc9-e1df0faa0911,105.28,207,3008,88,157.31,2022/12/03/[1]2ca9b7014b8544deb59aed2e6b6129a0
1670078719242,44288aa5-4693-446a-ae3b-66488740ff32,109.28,230,3008,86,197.27,2022/12/03/[1]74f211e415eb4714bf9b75e62c57159b
1670082319680,33323155-aee4-46df-b40d-8adc3aaa1715,97.00,209,3008,86,175.14,2022/12/03/[1]284e07bfadb745ed943e1c64dd47449f
1670085919120,14c0b328-522a-4a6c-8d3b-a308925611bd,108.40,188,3008,89,123.82,2022/12/03/[1]6bab33efef5c405e991313eda48e1174
1670089519090,c0da302f-5a1e-4476-8c0f-ec917134a393,125.17,207,3008,86,158.19,2022/12/03/[1]0c60e2e7b7eb456d9de1fb7559cb79b3
1670093119097,460224ac-82b4-446d-a2e5-b913a95ecf30,108.50,216,3008,86,166.61,2022/12/03/[1]3c2fc5519d2a43939e78eb69df9e338a
1670096719145,19605628-df27-4c2f-9544-4205afc3695a,107.55,185,3008,90,108.74,2022/12/03/[1]2fbad5e1e75f4e63b2e005c12b24bf57
1670100319268,269bb2d7-4879-46b2-a385-4e4f720f6bdd,106.66,238,3008,86,209.93,2022/12/03/[1]eeebee9b252741c5a81d2b0e5e40827e
1670103919323,5b9a42d6-8fba-40e7-b283-07551b43d1a9,101.14,176,3008,90,117.43,2022/12/03/[1]ae30d64f843349b58ead4bc39f8a2b5d
1670107520372,62a1991d-21a3-422e-9168-e1466aeddb46,99.81,202,3008,86,192.76,2022/12/03/[1]c51da0ad16384ce8bb06d55ba667f92a
1670111119116,f722388b-7ef6-4b58-8fbb-2c697825045b,110.55,229,3008,86,174.93,2022/12/03/[1]6f1af66881624c6daf0bde4e65249574
1670114719525,a7bcc1b8-86d5-40d8-9afc-f807a51a18e9,117.64,216,3008,89,157.65,2022/12/04/[1]303532c8822f4a22ba58738a3afdc49c
1670118318997,16ee3a93-1a75-4b3b-be8e-d827316ef47c,112.54,193,3008,89,141.35,2022/12/04/[1]9e60fd35fda74e2684440cad48a9543a
1670121919745,a86b9a70-2845-4525-925d-5111b9a8c727,104.14,218,3008,86,177.31,2022/12/04/[1]0795299855dc4b4596697eebd141020b
1670125519367,920b5c2b-859e-452f-bd8b-44c69b673f64,109.69,187,3008,90,131.91,2022/12/04/[1]130625d36b084f83b4b6cac06364cd79
1670129119265,567b84be-29f2-4606-8396-c37e577ebbaa,130.09,208,3008,89,146.27,2022/12/04/[1]99cc2eb096604aa9b5b80468951b22ef
1670132719297,08fcaf4c-26e0-437a-871e-ae5abe59c2bf,122.15,209,3008,89,136.18,2022/12/04/[1]2263b8d9d16943b297bf5486930e34ca
1670136318939,9f851447-b4a5-4503-9b19-a247a66b0d38,92.48,158,3008,91,93.95,2022/12/04/[1]89e0f4c89a284aa59ea736d3bd779943
1670139919196,b9c2043d-1a46-4090-91a7-08073f6a3930,115.63,256,3008,86,214.11,2022/12/04/[1]b21dd1793330418fa469868107e4fef4
1670143526531,d4bdc954-5c20-437a-96aa-90b248228b9e,111.15,211,3008,86,138.75,2022/12/04/[1]79b62df94e7c4695a2b0d7c70b267871
1670147119251,f0cb11ce-19f4-4525-9812-20823248a07c,99.61,210,3008,86,160.76,2022/12/04/[1]331ab8bf22c04eb590c8f06e96ac4a73
1670150719227,cd68f224-d3d1-433a-ae9e-44e2651cbd20,121.06,226,3008,89,149.75,2022/12/04/[1]0ce1f22349284b7aa53c5f9da67125e2
1670154318932,6dc9ee58-07c4-4162-b66e-5ff9a5f2718a,127.18,219,3008,89,135.48,2022/12/04/[1]289bc448d0cf42a699abf5295e5915f2
1670157919527,e7b54fa4-055a-44fb-bcdd-bb55ab59f910,151.35,243,3008,89,157.97,2022/12/04/[1]a9ad83b4c2874351a48d15b15ce5571c
1670161519271,97bce3fe-9f19-4a08-b5c3-8c4369c9b010,121.47,252,3008,86,224.51,2022/12/04/[1]87bb7b16114145f184f72fddc4bd5812
1670165119127,e976d939-c023-48e6-85d8-08d1088e9b6c,105.40,216,3008,86,201.48,2022/12/04/[1]b2f9f10a2a45458092576e2997383953
1670168719397,1ce15750-4ac5-45f5-b01d-68dc1436387d,125.86,206,3008,88,129.65,2022/12/04/[1]ff4ba10100f542698508385b8b666b3e
1670172319230,9acd9a39-6803-470c-9b53-519966e92fc5,148.82,331,3008,86,255.56,2022/12/04/[1]b14f17a501ab4fbcb195f467067f576e
1670175919283,d2160689-d74f-49b4-9321-6ec705626502,109.99,191,3008,89,137.76,2022/12/04/[1]aac353e6fa244532b0b9b5bd2b3765fc
1670179519190,3e13f3ae-cce5-49c9-a409-2017255451f0,117.19,184,3008,90,106.59,2022/12/04/[1]ed3e8ba8996940038e63d243f317cbe7
1670183119355,2bb215ad-0eba-4d65-9680-1a69958ad6e6,117.21,282,3008,86,203.67,2022/12/04/[1]8ac04983eaa94e079e6844d2bd81c070
1670186719540,b16c2a1a-8b44-455b-a9c2-7b35a5786bdc,117.07,214,3008,87,146.70,2022/12/04/[1]b17e11078ac64fb0b9cc641044116c2c
1670190319173,422bbfaa-dc73-4329-bf2e-3d1aa3950099,101.34,171,3008,90,101.91,2022/12/04/[1]21204f930b8b48b9a7b032ac6025d706
1670193919215,e917b8fb-e76b-4fcc-81b9-3f0b266e3738,97.60,169,3008,90,134.58,2022/12/04/[1]b6e72e2f8b744d26b75ba9ce51d731fe
1670197519327,4d4025db-7818-423f-81f8-ed63240d288c,125.75,212,3008,88,131.58,2022/12/04/[1]25c644a84471405bada1e49944709270
1670201119443,7d747e4e-51a0-486d-87bc-6a7508156cfc,114.61,190,3008,89,119.22,2022/12/05/[1]f213ea99db0d41b382ace3872d572d12
1670204718900,c1aafa7a-200d-4c17-934f-3b7b227911d8,104.28,126,3008,91,39.39,2022/12/05/[1]352381a3d0884a5eae8ccf265266bd2a
1670208319367,be4c477c-56ad-44b6-ab6f-89ce54f78436,100.19,222,3008,86,196.17,2022/12/05/[1]a54b9f30eb5843af91495963d40c5bd4
1670211919308,b2c5af69-03ac-4734-aed3-0c8ec0f36bf6,111.46,202,3008,89,144.21,2022/12/05/[1]80ec046d83664ef6ad2b22493a709d50
1670215519298,e3a18f78-1a39-4ec6-a317-4d6e199e0980,113.53,295,3008,86,221.23,2022/12/05/[1]2b3a087b98d74c9c899b310775f0af77
1670219119122,d32f7732-5921-4609-8729-cabceb9db450,103.55,216,3008,86,172.02,2022/12/05/[1]d0d37d39167e49678bb863da71a3691f
1670222719393,3b19a3ae-b9f9-4819-8941-dc11f3415e24,105.70,221,3008,86,166.68,2022/12/05/[1]32df5c4406234008ae0af965e467a891
1670226319185,866d1059-4418-4990-a90e-2a02d02ee720,124.42,258,3008,86,206.91,2022/12/05/[1]a74c00bff31d467588f8b8979d6b50a1
1670229919397,ce9b8d49-da38-4440-b4e1-fb68fab62b5d,122.36,226,3008,86,153.05,2022/12/05/[1]7626dc6a596141739462a1aa28dd1464
1670233519292,5c73e593-1be1-4582-b77c-890fb2992c72,101.71,219,3008,86,188.37,2022/12/05/[1]6f19ce4e225c4f5d8a49e5546ae46fa4
